NDQ119;0d-11A;dbo.Multiples_ConCert('fisico', 'sensorial', 'N,R')
NDQ120;12A-17A;
NDQ121;18A-29A;
NDQ122;30A-59A;
NDQ123;60A+;
NDQ124;0d-11A;dbo.Multiples_ConCert('sensorial', 'físico', 'N,R')
NDQ125;12A-17A;
NDQ126;18A-29A;
NDQ127;30A-59A;
NDQ128;60A+;
NDQ129;0d-11A;dbo.Multiples_ConCert('fisico', 'mental', 'N,R')
NDQ130;12A-17A;
NDQ131;18A-29A;
NDQ132;30A-59A;
NDQ133;60A+;
NDQ134;0d-11A;dbo.Multiples_ConCert('mental', 'físico', 'N,R')
NDQ135;12A-17A;
NDQ136;18A-29A;
NDQ137;30A-59A;
NDQ138;60A+;
NDQ139;0d-11A;dbo.Multiples_ConCert('sensorial', 'mental', 'N,R')
NDQ140;12A-17A;
NDQ141;18A-29A;
NDQ142;30A-59A;
NDQ143;60A+;
NDQ144;0d-11A;dbo.Multiples_ConCert('mental', 'sensorial', 'N,R')
NDQ145;12A-17A;
NDQ146;18A-29A;
NDQ147;30A-59A;
NDQ148;60A+;
NDQ149;0d-11A;dbo.Multiples_Triple_ConCert('N,R')
NDQ150;12A-17A;
NDQ151;18A-29A;
NDQ152;30A-59A;
NDQ153;60A+;
NDQ154;0d-11A;dbo.Multiples_SinCert('fisico', 'sensorial', 'N,R')
NDQ155;12A-17A;
NDQ156;18A-29A;
NDQ157;30A-59A;
NDQ158;60A+;
NDQ159;0d-11A;dbo.Multiples_SinCert('sensorial', 'físico', 'N,R')
NDQ160;12A-17A;
NDQ161;18A-29A;
NDQ162;30A-59A;
NDQ163;60A+;
NDQ164;0d-11A;dbo.Multiples_SinCert('fisico', 'mental', 'N,R')
NDQ165;12A-17A;
NDQ166;18A-29A;
NDQ167;30A-59A;
NDQ168;60A+;
NDQ169;0d-11A;dbo.Multiples_SinCert('mental', 'físico', 'N,R')
NDQ170;12A-17A;
NDQ171;18A-29A;
NDQ172;30A-59A;
NDQ173;60A+;
NDQ174;0d-11A;dbo.Multiples_SinCert('sensorial', 'mental', 'N,R')
NDQ175;12A-17A;
NDQ176;18A-29A;
NDQ177;30A-59A;
NDQ178;60A+;
NDQ179;0d-11A;dbo.Multiples_SinCert('mental', 'sensorial', 'N,R')
NDQ180;12A-17A;
NDQ181;18A-29A;
NDQ182;30A-59A;
NDQ183;60A+;
NDQ184;0d-11A;dbo.Multiples_Triple_SinCert('N,R')
NDQ185;12A-17A;
NDQ186;18A-29A;
NDQ187;30A-59A;
NDQ188;60A+;
NDQ189;0d-11A;dbo.Multiples_EnRiesgo('fisico', 'sensorial', 'N,R')
NDQ190;12A-17A;
NDQ191;18A-29A;
NDQ192;30A-59A;
NDQ193;60A+;
NDQ194;0d-11A;dbo.Multiples_EnRiesgo('sensorial', 'físico', 'N,R')
NDQ195;12A-17A;
NDQ196;18A-29A;
NDQ197;30A-59A;
NDQ198;60A+;
NDQ199;0d-11A;dbo.Multiples_EnRiesgo('fisico', 'mental', 'N,R')
NDQ200;12A-17A;
NDQ201;18A-29A;
NDQ202;30A-59A;
NDQ203;60A+;
NDQ204;0d-11A;dbo.Multiples_EnRiesgo('mental', 'físico', 'N,R')
NDQ205;12A-17A;
NDQ206;18A-29A;
NDQ207;30A-59A;
NDQ208;60A+;
NDQ209;0d-11A;dbo.Multiples_EnRiesgo('sensorial', 'mental', 'N,R')
NDQ210;12A-17A;
NDQ211;18A-29A;
NDQ212;30A-59A;
NDQ213;60A+;
NDQ214;0d-11A;dbo.Multiples_EnRiesgo('mental', 'sensorial', 'N,R')
NDQ215;12A-17A;
NDQ216;18A-29A;
NDQ217;30A-59A;
NDQ218;60A+;
NDQ219;0d-11A;dbo.Multiples_Triple_EnRiesgo('N,R')
NDQ220;12A-17A;
NDQ221;18A-29A;
NDQ222;30A-59A;
NDQ223;60A+;
NDQ224;0d-11A;dbo.Multiples_ConCert('fisico', 'sensorial', 'N,C,R')
NDQ225;12A-17A;
NDQ226;18A-29A;
NDQ227;30A-59A;
NDQ228;60A+;
NDQ229;0d-11A;dbo.Multiples_ConCert('sensorial', 'físico', 'N,C,R')
NDQ230;12A-17A;
NDQ231;18A-29A;
NDQ232;30A-59A;
NDQ233;60A+;
NDQ234;0d-11A;dbo.Multiples_ConCert('fisico', 'mental', 'N,C,R')
NDQ235;12A-17A;
NDQ236;18A-29A;
NDQ237;30A-59A;
NDQ238;60A+;
NDQ239;0d-11A;dbo.Multiples_ConCert('mental', 'físico', 'N,C,R')
NDQ240;12A-17A;
NDQ241;18A-29A;
NDQ242;30A-59A;
NDQ243;60A+;
NDQ244;0d-11A;dbo.Multiples_ConCert('sensorial', 'mental', 'N,C,R')
NDQ245;12A-17A;
NDQ246;18A-29A;
NDQ247;30A-59A;
NDQ248;60A+;
NDQ249;0d-11A;dbo.Multiples_ConCert('mental', 'sensorial', 'N,C,R')
NDQ250;12A-17A;
NDQ251;18A-29A;
NDQ252;30A-59A;
NDQ253;60A+;
NDQ254;0d-11A;dbo.Multiples_Triple_ConCert('N,C,R')
NDQ255;12A-17A;
NDQ256;18A-29A;
NDQ257;30A-59A;
NDQ258;60A+;
NDQ259;0d-11A;dbo.Multiples_SinCert('fisico', 'sensorial', 'N,C,R')
NDQ260;12A-17A;
NDQ261;18A-29A;
NDQ262;30A-59A;
NDQ263;60A+;
NDQ264;0d-11A;dbo.Multiples_SinCert('sensorial', 'físico', 'N,C,R')
NDQ265;12A-17A;
NDQ266;18A-29A;
